Gene_Id,Hugo_Symbol,my_Id
10902,BRD8,8557
10903,MTMR11,8558
10905,MAN1A2,8560
10906,TRAFD1,8561
10907,TXNL4A,8562
10908,PNPLA6,8563
10910,SUGT1,8564
10911,UTS2,8565
10913,EDAR,8567
10914,PAPOLA,8568
10915,TCERG1,8569
10916,MAGED2,8570
10919,EHMT2,8572
10920,COPS8,8573
10921,RNPS1,8574
10922,FASTK,8575
10923,SUB1,8576
10924,SMPDL3A,8577
10926,DBF4,8578
10927,SPIN1,8579
10928,RALBP1,8580
10929,SRSF8,8581
10930,APOBEC2,8582
10933,MORF4L1,8583
10935,PRDX3,8585
10938,EHD1,8587
10939,AFG3L2,8588
10940,POP1,8589
10941,UGT2A1,8590
10942,PRSS21,8591
10943,MSL3,8592
10944,C11orf58,8593
10945,KDELR1,8594
10946,SF3A3,8595
10947,AP3M2,8596
10948,STARD3,8597
10949,HNRNPA0,8598
10950,BTG3,8599
109504726,ERV3-1-ZNF117,55042
10951,CBX1,8600
10952,SEC61B,8601
10953,TOMM34,8602
10954,PDIA5,8603
10955,SERINC3,8604
10956,OS9,8605
10959,TMED2,8607
10960,LMAN2,8608
10961,ERP29,8609
10962,MLLT11,8610
10963,STIP1,8611
10964,IFI44L,8612
10965,ACOT2,8613
10966,RAB40B,8614
10969,EBNA1BP2,8615
10970,CKAP4,8616
109703458,HTD2,55169
10971,YWHAQ,8617
10972,TMED10,8618
10973,ASCC3,8619
10974,ADIRF,8620
10975,UQCR11,8621
10978,CLP1,8622
10979,FERMT2,8623
10980,COPS6,8624
10981,RAB32,8625
10982,MAPRE2,8626
10983,CCNI,8627
10985,GCN1,8629
10987,COPS5,8631
10988,METAP2,8632
10989,IMMT,8633
10990,LILRB5,8634
10991,SLC38A3,8635
10992,SF3B2,8636
10993,SDS,8637
10994,ILVBL,8638
10999,SLC27A4,8640
11000,SLC27A3,8641
11001,SLC27A2,8642
11004,KIF2C,8643
11005,SPINK5,8644
11006,LILRB4,8645
11007,CCDC85B,8646
1101,CHAD,911
11010,GLIPR1,8648
11011,TLK2,8649
110117499,P3R3URF-PIK3R3,55277
11012,KLK11,8650
11013,TMSB15A,8651
11014,KDELR2,8652
11015,KDELR3,8653
11016,ATF7,8654
11017,SNRNP27,8655
11018,TMED1,8656
11019,LIAS,8657
1102,RCBTB2,912
11020,IFT27,8658
11021,RAB35,8659
11022,TDRKH,8660
11023,VAX1,8661
11025,LILRB3,8663
11026,LILRA3,8664
11027,LILRA2,8665
1103,CHAT,913
11030,RBPMS,8667
11031,RAB31,8668
11033,ADAP1,8669
11034,DSTN,8670
11035,RIPK3,8671
11036,GTF2A1L,8672
11037,STON1,8673
110384692,LOC110384692,56213
1104,RCC1,914
11040,PIM2,8675
11041,B4GAT1,8676
11043,MID2,8678
11044,TENT4A,8679
11047,ADRM1,8682
1105,CHD1,915
11051,NUDT21,8684
11052,CPSF6,8685
11054,OGFR,8686
11056,DDX52,8688
11057,ABHD2,8689
11059,WWP1,8690
110599564,EEF1AKMT4,56253
110599583,EEF1AKMT4-ECE2,56268
110599588,ASDURF,56271
1106,CHD2,916
11060,WWP2,8691
11061,CNMD,8692
11062,DUS4L,8693
11063,SOX30,8694
11064,CNTRL,8695
11065,UBE2C,8696
11066,SNRNP35,8697
11069,RAPGEF4,8700
1107,CHD3,917
11070,TMEM115,8701
11072,DUSP14,8702
11073,TOPBP1,8703
11074,TRIM31,8704
11075,STMN2,8705
11076,TPPP,8706
11077,HSF2BP,8707
11078,TRIOBP,8708
11079,RER1,8709
1108,CHD4,918
11080,DNAJB4,8710
11081,KERA,8711
11082,ESM1,8712
11083,DIDO1,8713
1109,AKR1C4,919
11091,WDR5,8716
11092,SPACA9,8717
11093,ADAMTS13,8718
11094,CACFD1,8719
11095,ADAMTS8,8720
11096,ADAMTS5,8721
11097,NUP42,8722
11098,PRSS23,8723
11099,PTPN21,8724
111,ADCY5,93
11100,HNRNPUL1,8725
11101,ATE1,8726
11102,RPP14,8727
11103,KRR1,8728
11104,KATNA1,8729
11107,PRDM5,8731
1111,CHEK1,920
11112,HIBADH,8733
11113,CIT,8734
11116,CEP43,8735
11117,EMILIN1,8736
11118,BTN3A2,8737
111188157,LYNX1-SLURP2,56384
11119,BTN3A1,8738
1112,FOXN3,921
11120,BTN2A1,8739
11122,PTPRT,8740
11123,RCAN3,8741
11124,FAF1,8742
11127,KIF3A,8744
11128,POLR3A,8745
11129,CLASRP,8746
1113,CHGA,922
11130,ZWINT,8747
11133,KPTN,8750
11135,CDC42EP1,8751
11137,PWP1,8753
11138,TBC1D8,8754
1114,CHGB,923
11140,CDC37,8755
11141,IL1RAPL1,8756
11142,PKIG,8757
11143,KAT7,8758
11145,PLAAT3,8760
11146,GLMN,8761
11148,HHLA2,8763
11151,CORO1A,8765
11152,WDR45,8766
11153,FICD,8767
11154,AP4S1,8768
11155,LDB3,8769
11156,PTP4A3,8770
11157,LSM6,8771
11158,RABL2B,8772
11159,RABL2A,8773
1116,CHI3L1,924
11160,ERLIN2,8774
11161,ERG28,8775
11162,NUDT6,8776
11163,NUDT4,8777
11164,NUDT5,8778
11165,NUDT3,8779
11166,SOX21,8780
11167,FSTL1,8781
11168,PSIP1,8782
